Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea
101300;;;;Grundfos DK;;0.20;€;;;;;SP0SC; ; 
101400;;;;Grundfos DK;;0.01;€;;;;;SP0SC; ; 
101410;;;;Grundfos DK;;0.02;€;;;;;SP0SC; ; 
101590;;;;Grundfos DK;;0.06;€;;;;;SP0SC; ; 
101630;;;;Grundfos DK;;0.26;€;;;;;SP0SC; ; 
101680;;;;Grundfos DK;;0.73;€;;;;;SP0SC; ; 
101840;;;;Grundfos DK;;13.64;€;;;;;SP0SC; ; 
101840;;;;Grundfos DK;;13.64;€;;;;;SP0SC; ; 
101900;;;;Grundfos DK;;0.13;€;;;;;SP0SC; ; 
101900;;;;Grundfos DK;;0.13;€;;;;;SP0SC; ; 
102180;;;;Grundfos DK;;0.84;€;;;;;SP0SC; ; 
102180;;;;Grundfos DK;;0.84;€;;;;;SP0SC; ; 
102190;;;;Grundfos DK;;0.13;€;;;;;SP0SC; ; 
102420;;;;Grundfos DK;;3.32;€;;;;;SP0SC; ; 
102470;;;;Grundfos DK;;7.53;€;;;;;SP0SC; ; 
107110;;;;Grundfos DK;;0.17;€;;;;;SP0SC; ; 
107110;;;;Grundfos DK;;0.17;€;;;;;SP0SC; ; 
107170;;;;Grundfos DK;;0.13;€;;;;;SP0SC; ; 
107190;;;;Grundfos DK;;4.15;€;;;;;SP0SC; ; 
107190;;;;Grundfos DK;;4.15;€;;;;;SP0SC; ; 
107340;;;;Grundfos DK;;0.53;€;;;;;SP0SC; ; 
107340;;;;Grundfos DK;;0.53;€;;;;;SP0SC; ; 
107480;;;;Grundfos DK;;6.13;€;;;;;SP0SC; ; 
107480;;;;Grundfos DK;;6.13;€;;;;;SP0SC; ; 
107480;;;;Grundfos DK;;6.13;€;;;;;SP0SC; ; 
107490;;;;Grundfos DK;;7.76;€;;;;;SP0SC; ; 
107490;;;;Grundfos DK;;7.76;€;;;;;SP0SC; ; 
107500;;;;Grundfos DK;;13.61;€;;;;;SP0SC; ; 
107510;;;;Grundfos DK;;7.76;€;;;;;SP0SC; ; 
107520;;;;Grundfos DK;;11.84;€;;;;;SP0SC; ; 
107570;;;;Grundfos DK;;0.61;€;;;;;SP0SC; ; 
